song,artist,release_year,composed,genre,appearances,also_performed_by,rating
Michelle,André Kostelanetz,1995,John Lennon,None,2,339,3.25
Little Wheel Spin and Spin,Buffy Sainte-Marie,1966,Buffy Sainte-Marie,Folk,8,2,2.5
Middle-Aged Teenager,Homer & Jethro,1989,Merle Travis,None,2,0,4.5
Come in Stranger,Johnny Cash,1958,Johnny Cash,Pop/Rock,83,5,5
Talisman,Agustín Lara,1983,Agustín Lara,International,15,5,3.25
Tennessee River,Alabama,1980,Randy Owen,Country,20,5,3.241176471
Midnight Hour,"Clarence ""Gatemouth"" Brown",2007,"Clarence ""Gatemouth"" Brown",None,8,0,None
Midnight in Montgomery,Alan Jackson,1991,Alan Jackson,Country,9,3,4.3
Midnight Monnlight,Tish Hinojosa,1992,Peter Rowan,None,1,0,4.5
Midnight Moonlight,Tish Hinojosa,1992,Peter Rowan,None,1,16,4.5
The Seeker,Dolly Parton,1975,Dolly Parton,Country,20,5,3.228571429
Theme from the Dukes of Hazzard (Good Ol' Boys),Waylon Jennings,1980,Waylon Jennings,Country,34,5,3.389285714
Midsummer Night,Al Di Meola / Paco de Lucía / John McLaughlin,1996,John McLaughlin,Jazz,2,0,4.3
Midwester,Katy Moffatt,2008,John Hiatt,None,2,0,None
Mie Tahon Tanssia,Värttinä,Unknown,Sari Kaasinen,None,1,0,4
Mierontie (Path of the Outcast),Värttinä,2006,Susan Aho,None,1,0,4
Mighty Clem,Soupy Sales,1965,Joe Angelis,None,1,0,4.5
Mighty Day,Bob Gibson,2015,Bob Gibson,None,2,0,None
Mighty Day,Bob Gibson,2015,Bob Gibson,None,2,0,None
You Lie,Reba McEntire,1990,Charlie Black,Country,7,4,3.883333333
Milja,Värttinä,2002,None,None,2,0,None
Milk,Garbage / Tricky,1999,Garbage,Pop/Rock,2,1,None
Milk Cow Blues,Tom Rush,1965,Kokomo Arnold,None,3,116,4.5
Walking the Back Streets and Crying,Little Milton,1972,Sandy Jones,Blues,9,5,3.4375
Earthrise/Return,Cambridge Singers / London Symphony Orchestra / Mannheim Steamroller,1983,Chip Davis,New,2,1,3
You Lie,Reba McEntire,1990,Charlie Black,Country,7,4,3.883333333
Milwaukee Polka,Frankie Yankovic,1983,Richard Adler,None,7,1,3.2
Minata Waraba,Oumou Sangaré,2017,Oumou Sangaré,None,2,0,None
Kisses Sweeter Than Wine,The Weavers,1951,Ronnie Gilbert,Folk,14,2,2.291666667
"The Terminator, film score~Theme",Cincinnati Pops Orchestra / Erich Kunzel,1994,Brad Fiedel,Aggressive,2,1,3
Whatcha Gonna Do With a Cowboy,Garth Brooks / Chris LeDoux,1992,Garth Brooks,Country,17,5,3.223076923
A Wild and Distant Shore,Michael Nyman,1933,Michael Nyman,Classical,1,0,1.7
Minisym No.1,Moondog,2000,Moondog,None,1,0,5
Mink Coats,Patty Larkin,2000,Patty Larkin,None,1,0,4
Minuet & Badinerie,James Galway / National Philharmonic Orchestra,1976,Johann Sebastian Bach,None,1,0,4
Minuet and Musette: Allegro Moderato,Ralph Vaughan Williams,1997,Derek Holman,None,1,0,2.5
Minuet in A,Andrés Segovia,2006,Isaac Albéniz,None,2,0,None
Minuet in E,Andrés Segovia,2006,Isaac Albéniz,None,2,0,None
Minuet in G Woo 10 No 2 (1795) Transcribed in a Major,,2018,Ludwig van Beethoven,None,1,0,None
"Miserere Mei, Deus",Timothy Beasley-Murray / Stephen Cleobury / Gerald Finley / King's College Choir of Cambridge,2004,William James Kirkpatrick,None,1,0,3.5
"Miserere Mei, Deus",Timothy Beasley-Murray / Stephen Cleobury / Gerald Finley / King's College Choir of Cambridge,2004,William James Kirkpatrick,None,1,0,3.5
Come on Over,Shania Twain,1997,"Robert John ""Mutt"" Lange",Country,4,5,4.8
A Little Less Talk and a Lot More Action,Toby Keith,1993,Keith D. Hinton,Country,5,3,3.633333333
Miss Melodia,L. Subramaniam Ensemble,2000,L. Subramaniam,None,1,1,3
Miss Otis Regrets,Katy Moffatt,1998,Cole Porter,None,2,131,4.5
"The Terminator, film score~Theme",Cincinnati Pops Orchestra / Erich Kunzel,1994,Brad Fiedel,Aggressive,2,1,3
Talking Dust Bowl,Cisco Houston,2000,Woody Guthrie,Folk,1,2,2.5
Mister Sandman,Emmylou Harris,1981,Pat Ballard,None,9,46,3.071428571
Ain't That Lonely Yet,Dwight Yoakam,1993,James House,Country,7,3,3.966666667
Where Do I Put Her Memory,Charley Pride,1978,Jim Weatherly,Country,17,5,3.333333333
Misty Roses,Astrud Gilberto,1966,Tim Hardin,None,11,26,3.666666667
"Mo 'n Herb's Vacation, Second Movement",London Symphony Orchestra,1983,Frank Zappa,None,3,1,3.666666667
Mo Ti Kole Mi Sori Apata,King Sunny Ade,1988,King Sunny Ade,None,1,0,3
You're Lookin' at Country,Loretta Lynn,1971,Loretta Lynn,Country,21,5,3.407142857
Model de Bam Bam,Arrow,1992,None,None,2,0,None
The Games That Daddies Play,Conway Twitty,1976,Conway Twitty,Country,45,1,2.654166667
Mogo Te Diya Bee Ye,Oumou Sangaré,1990,Traditional,None,3,0,4.25
Mojo,Peeping Tom,2006,Willie Bobo,None,2,0,4
Touch the Hand,Conway Twitty,1975,Ron Peterson,Country,54,1,2.697058824
Molly and Nick Dance,Dan the Automator,2019,Dan the Automator,None,1,0,None
Mona Lisa,The Lonely Island,2016,Brandon Bell,None,2,0,None
Fool #1,Brenda Lee,1961,Kathryn R. Fulton,Pop/Rock,23,5,4.5
Mona Lisa by the Rio Grande,Tish Hinojosa,2000,Marvin Denton Dykhuis,None,1,0,3
Trouble Blues,John Lee Hooker,1977,Charles Brown,Blues,39,1,2.5625
Pass You By,Gillian Welch,1996,David Rawlings,Folk,3,2,2.166666667
Monday's Child - Help Me to Grow,Fred Penner,1992,Fred Penner,None,4,0,3
Monday's Child/Help Me to Grow (Unicef Song),Fred Penner,1992,Fred Penner,None,4,0,3
Money,Heather Bishop,2009,Steve Bell,None,1,0,None
Money and Politics,Jackie Mason,2022,Jackie Mason,None,1,0,None
Bed of Roses,The Statler Brothers,1994,Harold Reid,Country,9,4,3.133333333
Abilene,Waylon Jennings,1964,Les Brown,Country,41,0,1.945833333
Money Greedy,Tricky,1998,Carlton Ridenhour,None,1,0,2.5
Money Is King,Bob Gibson,1996,Traditional,None,1,0,4.5
Money Is King,Bob Gibson,1996,Traditional,None,1,0,4.5
Money's Gettin' Cheaper,Jimmy Witherspoon,1963,Jay McShann,None,13,2,3.909090909
Monie,Kanda Bongo Man,1990,Kanda Bongo Man,None,4,0,2.75
Monkey Banana,Fela Kuti,1977,Fela Kuti,None,3,2,4.166666667
What Made You Say That,Shania Twain,1993,Tony Haselden,Country,1,1,2.8
Protection,Massive Attack,1994,Robert del Naja,Electronic,24,2,2.130769231
Moon Kaira,Toumani Diabaté / London Symphony Orchestra,2021,None,None,1,0,4
Moon Moon Moon,Laurie Berkner,1999,Laurie Berkner,None,4,1,4
Gentleman,Fela Kuti,1973,Fela Kuti,International,4,5,4.5
Moon River,Andy Williams,1993,Edward Pola,Pop/Rock,58,0,4.4
Moon River,André Kostelanetz,1963,Henry Mancini,Easy,3,595,4.166666667
"Symphony No. 9 in D minor (""Choral""), Op. 125~Molto vivace",Royal Philharmonic Orchestra,1940,Ludwig van Beethoven,Classical,3,2,2.1
Tape from California,Phil Ochs,1968,Phil Ochs,Folk,5,2,2.2
Alice's Restaurant Massacree,Arlo Guthrie,1967,Arlo Guthrie,Folk,3,0,1.833333333
Moonchild River Song,Eric Andersen,1977,Eric Andersen,None,6,1,4.125
Born Country,Alabama,1991,Byron Hill,Country,16,4,3.415384615
Moonlight Express,Fred Penner,2001,Fred Penner,None,3,0,3
Moonlight in Vermont,Ferrante & Teicher,1962,John Blackburn,None,3,324,3.666666667
Angel,Massive Attack,1998,Robert del Naja,Electronic,24,1,2.344444444
Alcohol,Brad Paisley,2005,Brad Paisley,Country,5,3,3.675
More Than You Know,André Kostelanetz,2001,Edward Eliscu,None,1,0,2.5
Carrying Your Love with Me,George Strait,1997,Steve Bogard,Country,10,4,3.466666667
Morning Drinker,Dick Hyman / Heather Masse,2013,Heather Masse,None,1,0,3.5
Jungle Flower,Les Baxter,1952,Les Baxter,Easy,4,5,4.5
Let 'Er Rip,The Chicks,1998,Billy Crain,Country,2,5,4.8
"Morning Light (Kham, October 2006)",Ottmar Liebert,2008,Ottmar Liebert,None,1,0,None
Morning Meditation,Ali Akbar Khan,1990,Ali Akbar Khan,None,2,0,3
Big in Vegas,Buck Owens,1969,Buck Owens,Country,10,3,3.633333333
Elizabeth,The Statler Brothers,1970,Jimmy Fortune,Country,21,4,3.270588235
Close Enough to Perfect,Alabama,1982,Carl Chambers,Country,11,3,3.618181818
"Motets, Book 5~Gaude gloriosa",Chanticleer,2018,Giovanni Pierluigi da Palestrina,None,2,0,None
Six White Horses,Norman Blake,1976,Traditional,Country,2,5,4.55
I Missed Me,Jim Reeves,1960,Bill Anderson,Country,36,4,3.45625
Mother Earth's Routine,Tom Chapin,1990,Tom Chapin,None,2,0,3
Mother of Pearl,Katy Moffatt,1995,Katy Moffatt,None,4,0,4.25
"Mother, Father And Uncle John",Bob McGrath,2000,Public Domain,None,1,1,4
Motherless Children,Bob Gibson,1961,Bob Gibson,None,3,0,3.5
Motherless Children,Bob Gibson,1961,Bob Gibson,None,3,0,3.5
Motherlover,The Lonely Island,2011,Drew Campbell,None,1,0,3.5
Moti Mo,King Sunny Ade,1988,King Sunny Ade,None,1,2,4
I'll Hold You in My Heart (Till I Can Hold You in My Arms),Eddy Arnold,1952,Eddy Arnold,Country,28,4,3.025
She's That Kind of Mystery,Bill Morrissey,1989,Bill Morrissey,Folk,3,1,2.75
Mountains Are Far Away,Yo-Yo Ma / Silkroad Ensemble,2005,Kayhan Kalhor,None,1,0,4
Mouse in My Toolbox,Laurie Berkner / The Laurie Berkner Band,2008,The Laurie Berkner Band,None,1,1,4
Mouse Trap,Soupy Sales,1965,Sandy Linzer,None,1,0,4.5
Colorado Girl,Townes Van Zandt,1969,Townes Van Zandt,Country,9,3,3.8
Constant Craving,Chris Colfer / Glee / Idina Menzel / Naya Rivera,2011,k.d. lang,R&B,1,4,3.5
"Courtesy of the Red, White and Blue (The Angry American)",Toby Keith,2002,Toby Keith,Country,6,3,3.8
"Mozart: Clarinet Concerto in A Major, K. 622 - II. Adagio",Karl Böhm / Alfred Prinz / Wiener Philharmoniker,2020,Wolfgang Amadeus Mozart,None,1,0,None
Mr Basie Goes to Washington,Raymond Scott / Raymond Scott & His Orchestra,2020,Bernie Hanighen,None,1,0,3.5
Mr Cab Driver,Soupy Sales,1965,Bob Crewe,None,1,0,4.5
Mr. Bojangles,David Bromberg,1972,Jerry Jeff Walker,None,4,101,3.5
Don't Forget to Remember Me,Carrie Underwood,2005,Ashley Gorley,Country,5,3,3.633333333
Mr. Johnson's Swing,Lonnie Johnson,1992,Lonnie Johnson,None,15,0,3.090909091
Mr. Kiss Kiss Bang Bang,John Barry,1964,John Barry,None,2,13,3
Mr. Kiss Kiss Bang Bang,John Barry,1964,John Barry,None,2,13,3
Mr. Lucky,Vince Guaraldi,1964,Henry Mancini,None,3,61,3.833333333
Emotions,Brenda Lee,1960,Ramsey Kearney,Pop/Rock,24,3,4
Essence,Lucinda Williams,2001,Lucinda Williams,Pop/Rock,2,3,4
Dubuque,George Winston,1999,Traditional,New,3,4,3.5
Forty Hour Week (For a Livin'),Alabama,1985,Dave Loggins,Country,12,3,3.6
Mr. Tambourine Man,Judy Collins,1965,Bob Dylan,None,10,126,3.5
Mr. Tambourine Man,Judy Collins,1965,Bob Dylan,None,10,126,3.5
Mr. Tambourine Man,The Mitchell Trio,1965,Bob Dylan,None,2,126,2.5
Mtaka Mama,Mahlathini,1993,Simon 'Mahalthini' Nkabinde,None,1,0,4
Hard Times,Charles Brown,1963,Jerry Leiber,Blues,8,3,4
He's a Jelly Roll Baker,Lonnie Johnson,1936,Lonnie Johnson,Jazz,18,3,3.933333333
Muck-Arty-Park,Soupy Sales,Unknown,T. Baird,None,1,0,1.5
Hot Little Mama,"Johnny ""Guitar"" Watson",1975,Maxwell Davis,Blues,7,3,3.928571429
"Appalachia Waltz, version for solo cello",Yo-Yo Ma,1939,Mark O'Connor,Classical,5,1,2.366666667
The Dull Flame of Desire,Björk,2007,Björk,Electronic,4,1,2.9
Lady Down on Love,Alabama,1983,Randy Owen,Country,12,3,3.8
"The Godfather, film score~Speak Softly Love (Love Theme)",Boston Pops Orchestra / Arthur Fiedler,1944,Nino Rota,Classical,1,1,2.7
Mujer,Agustín Lara,1990,Agustín Lara,None,25,49,3.2
Mule Skinner Blues,Ramblin' Jack Elliott,1958,Jimmie Rodgers,Country,4,44,4.133333333
Mule Train,Tennessee Ernie Ford,2002,Bennie Benjamin,Country,24,0,4.3
Mumuki,Astor Piazzolla,1987,Astor Piazzolla,International,9,9,4.25
Musak,Sasha & John Digweed / Trisco,2000,None,None,1,0,3
Music Box Blues,Trans-Siberian Orchestra,1998,Paul O'Neill,None,3,0,2.833333333
Music For 18 Musicians,Steve Reich,2006,Steve Reich,None,4,1,3.5
"Music for 18 Musicians, for 4 female voices & 16 instruments~Pulses",Steve Reich,1997,Steve Reich,Avant-Garde,4,0,4.375
"Music for 18 Musicians, for 4 female voices & 16 instruments~Section 10",Steve Reich,1938,Steve Reich,Classical,3,0,3.7
"Music for 18 Musicians, for 4 female voices & 16 instruments~Section 11",Steve Reich,1938,Steve Reich,Classical,3,0,3.7
"Music for 18 Musicians, for 4 female voices & 16 instruments~Section 3A",Steve Reich,1938,Steve Reich,Classical,2,0,3.7
"Music for 18 Musicians, for 4 female voices & 16 instruments~Section 3B",Steve Reich,1938,Steve Reich,Classical,2,0,3.7
"Music for 18 Musicians, for 4 female voices & 16 instruments~Section 4",Steve Reich,1938,Steve Reich,Classical,3,0,3.7
"Music for 18 Musicians, for 4 female voices & 16 instruments~Section 5",Steve Reich,1938,Steve Reich,Classical,3,0,3.7
"Music for 18 Musicians, for 4 female voices & 16 instruments~Section 6",Steve Reich,1938,Steve Reich,Classical,2,0,3.7
"Music for 18 Musicians, for 4 female voices & 16 instruments~Section 7",Steve Reich,1938,Steve Reich,Classical,3,0,3.7
"Music for 18 Musicians, for 4 female voices & 16 instruments~Section 8",Steve Reich,1938,Steve Reich,Classical,3,0,3.7
"Music for 18 Musicians, for 4 female voices & 16 instruments~Section 9",Steve Reich,1938,Steve Reich,Classical,3,0,3.7
"Music for Mallet Instruments, Voices and Organ, for 3 female voices, 3 marimbas, 3 glockenspiels, vibes & organ",Steve Reich,1990,Steve Reich,Avant-Garde,3,2,4.166666667
"Music for Strings, Percussion and Celesta",Béla Bartók,Unknown,Béla Bartók,None,1,0,None
"Music for the Gift, Pt. 2",Terry Riley,2005,Terry Riley,None,1,0,3.5
Music Makin' Mama From Memphis,Hank Snow,1989,Hank Snow,None,23,0,4.75
Lifesong,Casting Crowns,2005,Mark Hall,Religious,6,3,3.75
All Imperfect Things,Michael Nyman,1933,Michael Nyman,Classical,3,0,1.7
That's All It Took,Gram Parsons,1973,Darrell Edwards,Pop/Rock,5,5,5
Musical Animal,Red Grammer,1987,Red Grammer,None,1,0,3
Muskrat Ramble/I Feel Like I'm Fixin' to Die Rag/Stop the Bleeding; Muskrat Ramble/Feel Like I'm Fixin' to Die Rag/Stop the Bleeding,George Winston,2019,Country Joe McDonald,None,1,0,4.5
Must Be Santa,Bob McGrath,2006,Bill Fredericks,None,1,24,None
Livin' on Love,Alan Jackson,1994,Alan Jackson,Country,10,3,3.6125
My Baby Got a Crush on Frankenstein,Soupy Sales / Soupy,2008,Ron Miller,None,1,0,None
The Hunter's Purse,The Chieftains,1971,Traditional,International,3,4,3.5
My Best Girl,Tom Rush,2018,Tom Rush,None,1,0,3.5
My British Buddy,Irving Berlin,2005,Irving Berlin,None,3,0,None
My Candles,Rachel Buchman,1993,Traditional,None,1,0,4
My Cherie Amour,James Galway,1999,Henry Cosby,None,2,96,3
My Comfort Remains,Nusrat Fateh Ali Khan,1996,Michael Brook,None,1,2,4.5
"The Godfather, film score~Speak Softly Love (Love Theme)",Boston Pops Orchestra / Arthur Fiedler,1944,Nino Rota,Classical,1,1,2.7
My Culture,1 Giant Leap / Neneh Cherry / Mahotella Queens / Maxi Jazz / Will Young,2005,None,None,2,0,4
Morning,Mannheim Steamroller,1979,Chip Davis,New,5,3,3.6
My Dog Is a Plumber,Marlo Thomas & Friends,1972,Dan Greenburg,None,1,1,5
We're Gonna Make It,Little Milton,1965,Gene Barge,Blues,16,4,3.5
"The Godfather, film score~Speak Softly Love (Love Theme)",Boston Pops Orchestra / Arthur Fiedler,1944,Nino Rota,Classical,1,1,2.7
"My Fair Lady, musical~The Street Where You Live",Plácido Domingo / Peter Fleetwood / Peter Land / Michael Sadler / United Kingdom Symphony,1933,Alan Jay Lerner,Classical,1,0,None
"My Fair Lady, musical~The Street Where You Live",Plácido Domingo / Peter Fleetwood / Peter Land / Michael Sadler / United Kingdom Symphony,1933,Alan Jay Lerner,Classical,1,0,None
My Family,Laurie Berkner / The Laurie Berkner Band,2011,Laurie Berkner,None,1,0,None
"The Godfather, film score~Speak Softly Love (Love Theme)",Boston Pops Orchestra / Arthur Fiedler,1944,Nino Rota,Classical,1,1,2.7
My Father,Judy Collins,1968,Judy Collins,R&B,19,15,4.321428571
My Father,Judy Collins,1968,Judy Collins,None,19,15,3.821428571
My Father,Judy Collins,1968,Judy Collins,None,19,15,3.821428571
My Favorite Things,Julie Andrews,1954,Oscar Hammerstein II,Stage,6,448,4.428571429
My Favorite Things,André Kostelanetz,1972,Oscar Hammerstein II,None,3,448,3.833333333
Palenque,Paco de Lucía,1981,Paco de Lucía,International,6,4,3.25
Should've Been a Cowboy,Toby Keith,1993,Toby Keith,Country,42,4,3.3
My Funny Valentine,Peter Nero / Doc Severinsen,1994,Lorenz Hart,None,4,1065,2.833333333
My Girl,Royal Philharmonic Orchestra,1996,Smokey Robinson,None,8,183,None
My Girl,Royal Philharmonic Orchestra,1996,Smokey Robinson,None,8,183,None
This Land Is Your Land,Arlo Guthrie / Woody Guthrie,1984,Woody Guthrie,Folk,3,0,1.5
My Heart Belongs to Daddy,Ella Fitzgerald,1955,Cole Porter,None,88,233,2.825
My Heart Is Mended,Charles Brown,1963,Ray Williams,Yearning,7,3,3.875
"My Heart, My Life",Michael Brook / Nusrat Fateh Ali Khan,1996,Michael Brook,International,2,3,3.75
My Heart Went That-a-Way,Roy Rogers,2003,Fleming Allen,None,8,0,3
My Heart Will Go On,James Last,2003,James Horner,Easy,3,177,None
"My Heart Will Go On (from the film ""Titanic"")",James Galway,2002,James Horner,None,1,3,4.5
My Morphine,Gillian Welch,1998,David Rawlings,Country,3,3,3.966666667
The Closer You Get,Alabama,1983,Mark Gray,Country,14,4,3.390909091
My Home's In Alabama,Jamey Johnson,2013,Teddy Gentry,None,1,2,3
My Jeans Are Always Blue,Barney,1999,Angelo Natalie,None,1,0,3
As Soon as I Hang Up the Phone,Conway Twitty,1991,Jack Nance,Country,36,1,2.216666667
My Kids Love Me/Traveling Home/Closer to Home/Home/Marcia Funebre,Marvin Hamlisch,2006,Marvin Hamlisch,None,1,1,5
My Lady Frustration,Fela Kuti,1969,Fela Kuti,Jazz,3,1,4.133333333
Angels We Have Heard on High,Royal Philharmonic Orchestra,1929,Traditional,Classical,8,0,1.975
Angels We Have Heard on High,Royal Philharmonic Orchestra,1929,Traditional,Classical,8,0,1.575
My Left Foot~Mother,Elmer Bernstein,1989,Rozz Williams,None,2,1,4
My Left Foot~Mother,Elmer Bernstein,1989,Rozz Williams,None,2,1,4
My Left Foot~Therapy,Elmer Bernstein,1989,Rozz Williams,None,1,0,4
My Left Foot~Therapy,Elmer Bernstein,1989,Rozz Williams,None,1,0,4
My Love Will Keep,Jonathan Edwards,2011,Mark D. Sanders,None,1,1,3.5
My Love Will Never Die,Otis Rush,1968,Willie Dixon,Blues,13,9,4.363636364
My Man,Barbra Streisand,1965,Jacques Charles,Pop/Rock,9,74,4.071428571
Turn the World Around,Eddy Arnold,1967,Ben Peters,Country,10,4,3.25
My Mind Keeps Movin',Shel Silverstein,1966,Shel Silverstein,None,2,0,None
My Mistake (Was to Love You),Marvin Gaye / Diana Ross,1973,Gloria Jones,R&B,17,3,4.333333333
Old Flame,Alabama,1980,Donny Lowery,Country,9,3,3.744444444
My Neighborhood,Rodney Dangerfield,1995,Rodney Dangerfield,None,2,0,3.25
Play Dead,David Arnold / Björk,1994,David Arnold,Pop/Rock,12,3,4
My Old Man,Steve Goodman,1977,Steve Goodman,None,3,4,3.833333333
My Old Town,Bill Morrissey,1986,Bill Morrissey,None,2,0,3.75
The Midnight Special,The Weavers,1952,Ronnie Gilbert,Folk,7,1,2.666666667
My Romance,Houston Person,1997,Lorenz Hart,Vocal,8,529,4.3
Banana Republics,Steve Goodman,1976,Steve Burgh,Folk,6,1,2.2
The Portland Cement Factory at Monolith California,John Fahey,1967,John Fahey,Folk,3,1,2.833333333
"My Soul Is a Witness, spiritual",Chanticleer / Rev. Yvette Flunder,2004,Traditional,None,1,0,3.5
My Special Angel,Homer & Jethro,1989,Merle Travis,None,2,0,4.5
Running Away,Roy Ayers,1978,Roy Ayers,Jazz,51,3,3.942857143
What's He Doing in My World,Eddy Arnold,1965,Carl Belew,Country,9,4,3.175
You Got Me Dizzy,Jimmy Reed,1977,Jimmy Reed,Blues,23,4,3.4
My Toe Is on Fire,Mouse on Mars / Laetitia Sadier,2014,Laetitia Sadier,None,1,0,3.5
Undo It,Carrie Underwood,2009,Kara DioGuardi,Contemporary,5,1,3
My Valentine,Paul McCartney,1989,Paul McCartney,None,4,6,3.75
My Way to You,Jamey Johnson,2009,Jamey Johnson,None,1,0,5
My Yellow Blankey,Barney,1994,Philip A. Parker,None,3,0,4
My Zulu,House Gospel Choir / Todd Terry,2020,Roland Clark,None,5,0,None
Searching,Roy Ayers,1976,Roy Ayers,Yearning,23,3,3.642857143
Mystic Voyage,Roy Ayers,1991,Roy Ayers,Jazz,7,4,4.133333333
Mystical People,Larry Heard / Nookie,1998,Gavin Cheung,None,2,0,3
"Nabuco Va Pensiero, Sull' Ali Dorate",Giuseppe Verdi,2008,Giuseppe Verdi,None,1,0,None
Naked City,Raymond Scott / Raymond Scott & His Orchestra,2020,Raymond Scott,None,1,3,3.5
Narcotic,Inner Space / Sasha & John Digweed,2000,None,None,1,0,3
Nashville,Toumani Diabaté / Béla Fleck,2020,Toumani Diabaté,None,2,0,4
National Trifle Association,David Cross,2016,David Cross,None,1,0,None
Nativity Carol,Cambridge Singers / City of London Sinfonia / John Rutter,1940,John Rutter,Classical,3,8,3.1
Nature Boy,Esquivel,1958,Eden Ahbez,None,3,544,3.5
Naufragio,Agustín Lara,1983,Agustín Lara,None,10,19,3.166666667
Naweye Toro,Toumani Diabaté / Ali Farka Touré,2005,None,None,1,0,4.5
Naweye Toro,Toumani Diabaté / Ali Farka Touré,2005,None,None,1,0,4.5
Ndipeiwo Zano,The Bhundu Boys,1989,None,None,1,0,3
Washington Blues,Elizabeth Cotten,1965,Elizabeth Cotten,Folk,2,1,2.75
Ndoitasei,The Bhundu Boys,1987,Rise Kagona,None,2,0,4.5
Big Bottom,Spinal Tap,1984,Christopher Guest,Comedy/Spoken,1,1,2.4
Shaking the Tree,Peter Gabriel / Youssou N'Dour,1994,Peter Gabriel,Pop/Rock,4,3,4
